kind	id	title	year	titleYear	status	matchedKey	candidateKeys
movie	ftp_94	Head to Head (2023)	2026	2023	HIT_EXACT	movie:Head to Head:2026	movie:Head to Head:2023 | movie:Head to Head:2026 | movie:Head to Head (2023):2023 | movie:Head to Head (2023):2026 | movie:ftp_94:2023 | movie:ftp_94:2026 | movie:Head to Head: | movie:Head to Head (2023):
movie	ftp_95	The Blind (2023)	2026	2023	MISS		movie:The Blind:2023 | movie:The Blind:2026 | movie:The Blind (2023):2023 | movie:The Blind (2023):2026 | movie:ftp_95:2023 | movie:ftp_95:2026 | movie:The Blind: | movie:The Blind (2023):
movie	ftp_96	Distant (2024)	2026	2024	MISS		movie:Distant:2024 | movie:Distant:2026 | movie:Distant (2024):2024 | movie:Distant (2024):2026 | movie:ftp_96:2024 | movie:ftp_96:2026 | movie:Distant: | movie:Distant (2024):
movie	ftp_97	Love Me (2024)	2026	2024	MISS		movie:Love Me:2024 | movie:Love Me:2026 | movie:Love Me (2024):2024 | movie:Love Me (2024):2026 | movie:ftp_97:2024 | movie:ftp_97:2026 | movie:Love Me: | movie:Love Me (2024):
movie	ftp_98	We Bury the Dead (2024)	2026	2024	MISS		movie:We Bury the Dead:2024 | movie:We Bury the Dead:2026 | movie:We Bury the Dead (2024):2024 | movie:We Bury the Dead (2024):2026 | movie:ftp_98:2024 | movie:ftp_98:2026 | movie:We Bury the Dead: | movie:We Bury the Dead (2024):
movie	ftp_99	Broke (2025)	2026	2025	MISS		movie:Broke:2025 | movie:Broke:2026 | movie:Broke (2025):2025 | movie:Broke (2025):2026 | movie:ftp_99:2025 | movie:ftp_99:2026 | movie:Broke: | movie:Broke (2025):
movie	ftp_100	Dead Man's Wire (2025)	2026	2025	MISS		movie:Dead Man's Wire:2025 | movie:Dead Man's Wire:2026 | movie:Dead Man's Wire (2025):2025 | movie:Dead Man's Wire (2025):2026 | movie:ftp_100:2025 | movie:ftp_100:2026 | movie:Dead Man's Wire: | movie:Dead Man's Wire (2025):
movie	ftp_101	Good Boy (2025)	2026	2025	MISS		movie:Good Boy:2025 | movie:Good Boy:2026 | movie:Good Boy (2025):2025 | movie:Good Boy (2025):2026 | movie:ftp_101:2025 | movie:ftp_101:2026 | movie:Good Boy: | movie:Good Boy (2025):
movie	ftp_102	Honey Bunch (2025)	2026	2025	MISS		movie:Honey Bunch:2025 | movie:Honey Bunch:2026 | movie:Honey Bunch (2025):2025 | movie:Honey Bunch (2025):2026 | movie:ftp_102:2025 | movie:ftp_102:2026 | movie:Honey Bunch: | movie:Honey Bunch (2025):
movie	ftp_103	Night Patrol (2025)	2026	2025	HIT_EXACT	movie:Night Patrol:2026	movie:Night Patrol:2025 | movie:Night Patrol:2026 | movie:Night Patrol (2025):2025 | movie:Night Patrol (2025):2026 | movie:ftp_103:2025 | movie:ftp_103:2026 | movie:Night Patrol: | movie:Night Patrol (2025):
movie	ftp_104	Nirvanna the Band the Show the Movie (2025)	2026	2025	MISS		movie:Nirvanna the Band the Show the Movie:2025 | movie:Nirvanna the Band the Show the Movie:2026 | movie:Nirvanna the Band the Show the Movie (2025):2025 | movie:Nirvanna the Band the Show the Movie (2025):2026 | movie:ftp_104:2025 | movie:ftp_104:2026 | movie:Nirvanna the Band the Show the Movie: | movie:Nirvanna the Band the Show the Movie (2025):
